# Gene Family,P1,P2,P3,P4,P5,P6
ENOG4105C3K,4.107,4.511,5.625,4.428,4.195,3.435
ENOG4105C3M,2.516,2.36,2.733,3.689,3.473,3.231
ENOG4105C3N,0.322,0.23,0.115,0.15,0.106,0.34
ENOG4105C3P,5.906,5.296,6.107,5.891,4.826,4.833
ENOG4105C3Q,0.0,0.075,0.0,0.0,0.0,0.0
ENOG4105C3R,1.943,1.532,1.922,1.882,1.525,1.014
ENOG4105C3T,1.053,1.516,1.491,1.414,1.673,1.078
ENOG4105C3U,2.885,2.122,2.689,2.301,2.601,2.059
ENOG4105C3W,0.127,0.344,0.228,0.124,0.265,0.196
ENOG4105C3X,0.232,0.266,1.087,0.983,0.622,0.675
ENOG4105C3Y,2.366,1.914,2.917,2.646,2.856,2.412
ENOG4105C40,0.147,0.195,0.477,1.227,0.975,0.584
ENOG4105C41,3.554,4.044,4.925,4.801,4.078,3.291
ENOG4105C42,0.173,0.495,0.272,0.0,0.0,0.244
ENOG4105C43,1.4,1.494,1.685,1.372,2.04,1.494
ENOG4105C45,0.705,0.295,2.528,1.819,2.107,0.758
ENOG4105C46,2.011,1.73,3.214,2.93,2.826,1.728
ENOG4105C47,0.284,0.14,0.779,0.804,0.908,0.146
ENOG4105C48,4.194,4.196,3.965,4.524,4.455,3.988
ENOG4105C49,0.0,0.0,0.0,0.0,0.459,0.0
ENOG4105C4B,0.0,0.217,0.082,0.075,0.0,0.0
ENOG4105C4E,4.409,4.608,5.878,4.976,4.981,2.954
ENOG4105C4F,0.75,0.527,0.985,0.605,0.816,0.367
ENOG4105C4G,0.0,0.244,0.0,0.143,0.0,0.16
ENOG4105C4H,0.0,0.0,0.296,0.654,0.366,0.0
ENOG4105C4J,8.258,8.256,8.353,8.82,8.075,7.991
ENOG4105C4K,1.297,1.016,1.651,2.273,2.104,1.503
ENOG4105C4M,0.176,0.167,0.97,0.417,0.245,0.102
ENOG4105C4N,3.896,4.268,4.671,4.391,4.831,4.254
ENOG4105C4P,6.695,5.476,8.518,8.348,8.37,6.463
ENOG4105C4Q,1.144,0.764,1.314,1.919,1.509,0.724
ENOG4105C4R,3.665,3.291,4.022,3.63,3.071,3.022
ENOG4105C4S,5.207,5.053,6.49,5.625,5.157,4.904
ENOG4105C4V,0.958,0.85,0.323,0.474,0.489,1.025
ENOG4105C4W,0.0,0.0,0.078,0.0,0.0,0.0
ENOG4105C4X,0.499,0.269,0.268,0.558,0.505,0.441
ENOG4105C4Y,1.051,0.928,0.836,1.287,1.051,1.305
ENOG4105C4Z,0.0,0.0,0.0,0.059,0.0,0.0
ENOG4105C50,0.081,0.0,0.0,0.0,0.0,0.0
ENOG4105C52,2.212,2.51,1.558,2.32,2.607,2.919
ENOG4105C53,3.295,2.99,3.047,3.246,2.386,2.382
ENOG4105C54,0.972,0.318,0.454,0.254,0.291,0.141
ENOG4105C55,2.579,2.762,3.892,2.688,3.003,2.709
ENOG4105C56,3.063,2.866,2.719,2.55,2.726,2.416
ENOG4105C57,0.0,0.128,0.317,0.072,0.0,0.0
ENOG4105C58,0.0,0.0,0.0,0.23,0.0,0.0
ENOG4105C59,1.011,1.156,1.378,1.169,1.678,1.127
ENOG4105C5B,0.228,0.102,0.107,0.253,0.114,0.43
ENOG4105C5C,0.2,0.0,0.666,0.194,0.527,0.0
ENOG4105C5E,1.826,1.713,2.058,1.424,0.916,1.251
ENOG4105C5F,8.178,8.642,9.656,8.504,8.237,7.151
ENOG4105C5G,0.0,0.0,0.114,0.087,0.0,0.0
ENOG4105C5H,5.68,5.997,7.864,7.638,8.386,5.419
ENOG4105C5I,1.168,1.399,1.32,0.921,0.985,0.596
ENOG4105C5J,1.746,2.614,3.569,1.587,1.276,1.787
ENOG4105C5K,0.0,0.0,0.093,0.0,0.0,0.0
ENOG4105C5M,0.0,0.109,0.0,0.098,0.0,0.0
