# Gene Family,P1,P2,P3,P4,P5,P6
K07219,1.034,0.753,0.39,0.599,0.474,0.662
K07220,2.373,2.191,3.474,2.853,2.419,1.94
K07221,0.0,0.0,0.178,0.0,0.256,0.192
K07222,4.332,3.917,1.443,2.699,3.063,3.656
K07223,0.988,1.287,0.202,0.53,0.889,1.693
K07226,0.346,1.217,0.362,1.08,0.835,0.403
K07227,0.074,0.0,0.0,0.0,0.0,0.0
K07228,0.0,0.0,0.102,0.0,0.0,0.0
K07230,0.0,0.147,0.125,0.068,0.0,0.0
K07232,0.147,0.349,0.348,0.423,0.187,0.331
K07234,0.0,0.0,0.0,0.197,0.0,0.0
K07235,0.0,0.41,0.0,0.0,0.0,0.0
K07236,0.0,0.0,0.0,0.072,0.0,0.0
K07238,0.176,0.0,0.263,0.32,0.0,0.11
K07240,3.467,3.592,2.471,3.529,1.703,3.238
K07241,0.406,0.369,0.538,0.264,0.185,0.101
K07243,0.0,0.0,0.0,0.276,0.0,0.0
K07245,0.097,0.0,0.0,0.076,0.0,0.0
K07246,9.129,8.506,6.515,7.84,4.458,6.379
K07248,0.0,0.0,0.0,0.092,0.0,0.109
K07250,0.053,0.0,0.263,0.111,0.262,0.278
K07254,0.0,0.0,0.064,0.0,0.0,0.0
K07258,0.767,0.73,0.834,0.894,0.576,0.0
K07259,0.746,0.9,0.423,0.785,0.375,0.727
K07260,0.0,0.0,0.088,0.0,0.0,0.0
K07261,0.574,0.431,0.125,0.373,0.0,0.37
K07263,0.867,0.902,0.913,2.331,1.302,1.198
K07267,0.581,0.317,0.241,0.23,0.29,0.369
K07275,0.0,0.0,0.114,0.0,0.0,0.157
K07276,0.0,0.0,0.0,0.18,0.0,0.0
K07277,1.21,0.73,0.934,0.948,1.6,1.107
K07284,0.24,0.143,0.108,0.118,0.0,0.0
K07289,0.135,0.225,0.0,0.09,0.0,0.077
K07300,2.354,2.569,1.458,2.923,2.414,2.222
K07301,0.0,0.555,0.391,0.239,0.0,0.228
K07302,15.049,16.095,9.509,12.465,13.069,15.416
K07303,8.625,8.657,5.064,7.508,8.87,10.338
K07304,5.27,5.266,4.242,5.675,4.909,4.388
K07305,5.574,4.906,4.779,5.317,4.519,4.428
K07313,0.196,0.0,0.0,0.05,0.0,0.218
K07315,2.126,2.273,1.601,2.318,3.247,3.321
K07316,0.413,0.453,0.852,0.693,0.388,0.944
K07320,0.0,0.369,0.0,0.12,0.106,0.0
K07321,0.0,0.0,0.0,0.082,0.0,0.0
K07323,0.0,0.0,0.0,0.386,0.408,0.163
K07334,1.412,1.352,1.485,1.68,1.396,1.452
K07335,0.0,0.225,0.076,0.0,0.0,0.173
K07336,0.415,0.129,0.0,0.429,0.279,0.237
K07337,0.241,0.238,0.161,0.258,0.0,0.067
K07339,0.04,0.0,0.057,0.0,0.0,0.044
K07340,0.0,0.0,0.099,0.059,0.0,0.0
K07341,1.0,0.698,1.107,0.632,0.959,0.367
K07342,0.128,0.136,0.188,0.101,0.0,0.0
K07343,0.077,0.18,0.207,0.305,0.086,0.335
K07344,0.0,0.159,0.278,0.161,0.159,0.084
K07357,0.138,0.0,0.062,0.045,0.102,0.099
K07386,0.952,0.456,0.539,0.796,1.053,0.537
K07389,0.0,0.159,0.0,0.0,0.0,0.0
